Dataset,File_name
NASA-MSL,T-5.test.out
NASA-MSL,M-2.test.out
NASA-MSL,P-15.test.out
NASA-MSL,T-8.test.out
NASA-MSL,M-5.test.out
NASA-MSL,D-14.test.out
NASA-MSL,D-15.test.out
NASA-MSL,M-1.test.out
NASA-MSL,P-11.test.out
NASA-MSL,P-10.test.out
NASA-MSL,F-8.test.out
NASA-MSL,M-6.test.out
Genesis,genesis-anomalies.test.csv@5.out
Genesis,genesis-anomalies.test.csv@3.out
Genesis,genesis-anomalies.test.csv@17.out
Daphnet,S03R01E0.test.csv@6.out
Daphnet,S09R01E4.test.csv@3.out
Daphnet,S03R01E1.test.csv@2.out
Daphnet,S03R01E0.test.csv@8.out
Daphnet,S09R01E0.test.csv@5.out
Daphnet,S02R01E0.test.csv@6.out
Daphnet,S03R01E1.test.csv@1.out
Daphnet,S03R02E0.test.csv@9.out
Daphnet,S03R01E1.test.csv@4.out
Daphnet,S09R01E0.test.csv@4.out
Daphnet,S03R02E0.test.csv@8.out
Daphnet,S03R03E4.test.csv@3.out
Daphnet,S09R01E4.test.csv@2.out
Daphnet,S03R03E4.test.csv@6.out
Daphnet,S09R01E4.test.csv@4.out
Daphnet,S01R02E0.test.csv@6.out
Daphnet,S03R02E0.test.csv@3.out
Daphnet,S03R01E1.test.csv@7.out
Daphnet,S09R01E0.test.csv@8.out
Daphnet,S03R02E0.test.csv@1.out
Daphnet,S03R01E0.test.csv@4.out
Daphnet,S01R02E0.test.csv@4.out
NASA-SMAP,A-6.test.out
NASA-SMAP,R-1.test.out
NASA-SMAP,T-3.test.out
NASA-SMAP,G-7.test.out
NASA-SMAP,F-2.test.out
NASA-SMAP,D-13.test.out
NASA-SMAP,E-13.test.out
NASA-SMAP,E-6.test.out
NASA-SMAP,P-3.test.out
NASA-SMAP,A-2.test.out
NASA-SMAP,D-5.test.out
NASA-SMAP,G-3.test.out
NASA-SMAP,D-3.test.out
NASA-SMAP,D-4.test.out
NASA-SMAP,E-8.test.out
NASA-SMAP,G-6.test.out
NASA-SMAP,P-1.test.out
NASA-SMAP,E-3.test.out
NASA-SMAP,E-2.test.out
NASA-SMAP,P-7.test.out
NASA-SMAP,D-9.test.out
NASA-SMAP,E-12.test.out
NASA-SMAP,D-2.test.out
NASA-SMAP,S-1.test.out
NASA-SMAP,D-11.test.out
NASA-SMAP,D-12.test.out
NASA-SMAP,E-1.test.out
MITDB,117.test.csv@2.out
MITDB,219.test.csv@1.out
MITDB,109.test.csv@1.out
MITDB,100.test.csv@1.out
MITDB,105.test.csv@2.out
MITDB,234.test.csv@1.out
MITDB,105.test.csv@1.out
MITDB,234.test.csv@2.out
MITDB,119.test.csv@1.out
MITDB,219.test.csv@2.out
MITDB,233.test.csv@1.out
MITDB,210.test.csv@1.out
MITDB,117.test.csv@1.out
MITDB,109.test.csv@2.out
MITDB,118.test.csv@2.out
MITDB,201.test.csv@2.out
GHL,12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@2.out
GHL,31_Lev_corr_Temp_fault_seed_132_vars_23.test.csv@13.out
GHL,14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@10.out
GHL,08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@13.out
GHL,30_Lev_corr_Temp_fault_seed_130_vars_23.test.csv@13.out
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@10.out
GHL,48_Lev_corr_Temp_fault_seed_199_vars_23.test.csv@3.out
GHL,13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@8.out
GHL,10_Lev_fault_Temp_corr_seed_39_vars_23.test.csv@4.out
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@4.out
GHL,38_Lev_corr_Temp_fault_seed_166_vars_23.test.csv@11.out
GHL,19_Lev_fault_Temp_corr_seed_62_vars_23.test.csv@4.out
GHL,26_Lev_corr_Temp_fault_seed_113_vars_23.test.csv@7.out
GHL,12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@10.out
GHL,13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@2.out
GHL,36_Lev_corr_Temp_fault_seed_159_vars_23.test.csv@13.out
GHL,10_Lev_fault_Temp_corr_seed_39_vars_23.test.csv@13.out
GHL,08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@4.out
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@10.out
GHL,38_Lev_corr_Temp_fault_seed_166_vars_23.test.csv@13.out
GHL,01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@4.out
GHL,06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@13.out
GHL,16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@8.out
GHL,07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@13.out
GHL,16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@1.out
GHL,15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@13.out
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@2.out
GHL,16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@4.out
GHL,09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@10.out
GHL,05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@13.out
GHL,06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@8.out
GHL,06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@10.out
GHL,40_Lev_corr_Temp_fault_seed_180_vars_23.test.csv@3.out
GHL,13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@13.out
GHL,20_Lev_fault_Temp_corr_seed_67_vars_23.test.csv@8.out
GHL,31_Lev_corr_Temp_fault_seed_132_vars_23.test.csv@7.out
GHL,08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@2.out
GHL,35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@1.out
GHL,15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@8.out
GHL,13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@4.out
GHL,35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@4.out
GHL,09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@4.out
GHL,10_Lev_fault_Temp_corr_seed_39_vars_23.test.csv@8.out
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@8.out
GHL,34_Lev_corr_Temp_fault_seed_151_vars_23.test.csv@13.out
GHL,26_Lev_corr_Temp_fault_seed_113_vars_23.test.csv@13.out
GHL,08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@8.out
GHL,05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@2.out
GHL,22_Lev_fault_Temp_corr_seed_777_vars_23.test.csv@2.out
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@13.out
GHL,04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@4.out
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@2.out
GHL,04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@13.out
GHL,22_Lev_fault_Temp_corr_seed_777_vars_23.test.csv@16.out
GHL,45_Lev_corr_Temp_fault_seed_193_vars_23.test.csv@3.out
GHL,13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@10.out
GHL,01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@8.out
GHL,14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@4.out
GHL,16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@10.out
GHL,15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@1.out
GHL,34_Lev_corr_Temp_fault_seed_151_vars_23.test.csv@1.out
GHL,04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@10.out
GHL,09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@13.out
SensorScope,stb-12.test.out
SensorScope,stb-4.test.out
SensorScope,stb-8.test.out
SensorScope,stb-19.test.out
SensorScope,stb-6.test.out
SensorScope,stb-5.test.out
SensorScope,stb-17.test.out
SensorScope,stb-18.test.out
SensorScope,stb-14.test.out
SensorScope,stb-11.test.out
SensorScope,stb-31.test.out
Occupancy,room-occupancy.train.csv@5.out
Occupancy,room-occupancy.train.csv@3.out
Occupancy,room-occupancy-0.test.csv@4.out
Occupancy,room-occupancy.train.csv@4.out
Occupancy,room-occupancy-0.test.csv@5.out
SMD,machine-1-5.test.csv@23.out
SMD,machine-3-11.test.csv@20.out
SMD,machine-3-8.test.csv@19.out
SMD,machine-2-8.test.csv@14.out
SMD,machine-1-5.test.csv@22.out
SMD,machine-3-10.test.csv@31.out
SMD,machine-2-3.test.csv@20.out
SMD,machine-3-6.test.csv@7.out
SMD,machine-3-8.test.csv@25.out
SMD,machine-3-1.test.csv@30.out
SMD,machine-2-8.test.csv@10.out
SMD,machine-1-5.test.csv@25.out
SMD,machine-3-11.test.csv@22.out
SMD,machine-2-6.test.csv@20.out
SMD,machine-2-7.test.csv@25.out
SMD,machine-3-10.test.csv@6.out
SMD,machine-3-3.test.csv@36.out
SMD,machine-2-8.test.csv@6.out
SMD,machine-2-1.test.csv@7.out
SMD,machine-2-1.test.csv@22.out
SMD,machine-1-5.test.csv@31.out
SMD,machine-3-3.test.csv@37.out
SMD,machine-2-3.test.csv@32.out
SMD,machine-1-7.test.csv@33.out
SMD,machine-3-11.test.csv@24.out
SMD,machine-3-6.test.csv@1.out
SMD,machine-2-3.test.csv@2.out
SMD,machine-3-10.test.csv@3.out
SMD,machine-2-8.test.csv@19.out
SMD,machine-2-8.test.csv@35.out
SMD,machine-3-11.test.csv@35.out
SMD,machine-2-1.test.csv@10.out
SMD,machine-3-1.test.csv@36.out
SMD,machine-3-10.test.csv@22.out
SMD,machine-1-2.test.csv@13.out
SMD,machine-3-11.test.csv@5.out
SMD,machine-2-5.test.csv@12.out
SMD,machine-2-8.test.csv@31.out
SMD,machine-3-8.test.csv@16.out
SMD,machine-3-10.test.csv@28.out
SMD,machine-1-5.test.csv@26.out
SMD,machine-3-6.test.csv@24.out
SMD,machine-3-8.test.csv@20.out
SMD,machine-1-6.test.csv@10.out
SMD,machine-1-6.test.csv@6.out
SMD,machine-3-7.test.csv@30.out
SMD,machine-2-6.test.csv@24.out
SMD,machine-2-8.test.csv@16.out
SMD,machine-1-4.test.csv@9.out
SMD,machine-2-4.test.csv@21.out
SMD,machine-2-4.test.csv@14.out
SMD,machine-3-9.test.csv@21.out
SMD,machine-3-11.test.csv@26.out
SMD,machine-3-10.test.csv@2.out
SMD,machine-1-5.test.csv@19.out
SMD,machine-3-8.test.csv@21.out
SMD,machine-2-7.test.csv@2.out
SMD,machine-2-3.test.csv@1.out
SMD,machine-3-6.test.csv@4.out
SMD,machine-2-4.test.csv@19.out
SMD,machine-1-1.test.csv@10.out
SMD,machine-2-8.test.csv@33.out
SMD,machine-3-6.test.csv@14.out
SMD,machine-1-2.test.csv@24.out
SMD,machine-2-1.test.csv@21.out
SMD,machine-2-8.test.csv@5.out
SMD,machine-1-5.test.csv@24.out
SMD,machine-3-11.test.csv@31.out
SMD,machine-2-7.test.csv@24.out
SMD,machine-2-6.test.csv@16.out
SMD,machine-3-3.test.csv@38.out
SMD,machine-3-7.test.csv@13.out
SMD,machine-3-3.test.csv@31.out
SMD,machine-2-9.test.csv@15.out
SMD,machine-1-5.test.csv@1.out
SMD,machine-1-1.test.csv@28.out
SMD,machine-3-7.test.csv@11.out
SMD,machine-2-9.test.csv@13.out
SMD,machine-3-8.test.csv@4.out
SMD,machine-3-3.test.csv@6.out
SMD,machine-2-8.test.csv@28.out
SMD,machine-2-6.test.csv@22.out
SMD,machine-1-6.test.csv@11.out
SMD,machine-3-6.test.csv@36.out
SMD,machine-3-7.test.csv@14.out
SMD,machine-3-5.test.csv@7.out
SMD,machine-2-7.test.csv@22.out
SMD,machine-2-4.test.csv@12.out
SMD,machine-2-3.test.csv@11.out
SMD,machine-1-5.test.csv@7.out
SMD,machine-2-2.test.csv@11.out
SMD,machine-2-8.test.csv@4.out
SMD,machine-2-5.test.csv@14.out
SMD,machine-3-9.test.csv@35.out
SMD,machine-2-7.test.csv@1.out
SMD,machine-2-4.test.csv@10.out
SMD,machine-2-4.test.csv@9.out
SMD,machine-1-2.test.csv@9.out
SMD,machine-3-3.test.csv@35.out
SMD,machine-3-8.test.csv@35.out
SMD,machine-2-8.test.csv@9.out
SMD,machine-2-8.test.csv@22.out
SMD,machine-3-10.test.csv@23.out
SMD,machine-3-10.test.csv@14.out
SMD,machine-3-8.test.csv@2.out
SMD,machine-3-10.test.csv@16.out
SMD,machine-2-3.test.csv@31.out
SMD,machine-2-9.test.csv@24.out
SMD,machine-1-6.test.csv@24.out
SMD,machine-2-8.test.csv@17.out
SMD,machine-3-8.test.csv@22.out
SMD,machine-1-2.test.csv@11.out
SMD,machine-2-3.test.csv@19.out
SMD,machine-2-8.test.csv@29.out
SMD,machine-3-9.test.csv@20.out
SMD,machine-2-6.test.csv@11.out
SMD,machine-3-8.test.csv@31.out
SMD,machine-3-8.test.csv@1.out
SMD,machine-1-4.test.csv@14.out
SMD,machine-2-8.test.csv@25.out
SMD,machine-2-8.test.csv@26.out
SMD,machine-2-8.test.csv@15.out
SMD,machine-2-6.test.csv@1.out
SMD,machine-3-3.test.csv@1.out
SMD,machine-1-5.test.csv@16.out
SMD,machine-2-4.test.csv@28.out
SMD,machine-1-1.test.csv@12.out
SMD,machine-1-2.test.csv@4.out
SMD,machine-2-3.test.csv@14.out
SMD,machine-3-6.test.csv@31.out
SMD,machine-2-8.test.csv@20.out
SMD,machine-1-6.test.csv@16.out
SMD,machine-2-8.test.csv@36.out
SMD,machine-3-11.test.csv@36.out
SMD,machine-3-10.test.csv@20.out
SMD,machine-3-9.test.csv@36.out
SMD,machine-3-1.test.csv@14.out
SMD,machine-2-8.test.csv@13.out
SMD,machine-2-5.test.csv@13.out
SMD,machine-3-7.test.csv@12.out
MGAB,9.test.out
MGAB,8.test.out
MGAB,6.test.out
MGAB,1.test.out
MGAB,5.test.out
ECG,MBA_ECG14046_data_28.out
ECG,MBA_ECG14046_data_46.out
ECG,MBA_ECG14046_data_44.out
ECG,MBA_ECG14046_data_31.out
ECG,MBA_ECG14046_data_39.out
ECG,MBA_ECG14046_data_27.out
ECG,MBA_ECG14046_data_14.out
ECG,MBA_ECG820_data.out
ECG,MBA_ECG14046_data_11.out
ECG,MBA_ECG14046_data_0.out
ECG,MBA_ECG806_data.out
ECG,MBA_ECG14046_data_22.out
ECG,MBA_ECG14046_data_41.out
ECG,MBA_ECG14046_data_26.out
ECG,MBA_ECG14046_data_37.out
ECG,MBA_ECG14046_data_25.out
ECG,MBA_ECG14046_data_6.out
ECG,MBA_ECG14046_data_1.out
ECG,MBA_ECG14046_data_24.out
ECG,MBA_ECG14046_data_21.out
ECG,MBA_ECG14046_data_7.out
ECG,MBA_ECG801_data.out
ECG,MBA_ECG14046_data_38.out
ECG,MBA_ECG14046_data_16.out
ECG,MBA_ECG14046_data_19.out
ECG,MBA_ECG14046_data_33.out
NAB,NAB_data_KnownCause_3.out
NAB,NAB_data_Traffic_6.out
NAB,NAB_data_art1_2.out
NAB,NAB_data_CloudWatch_6.out
NAB,NAB_data_KnownCause_2.out
NAB,NAB_data_Exchange_1.out
NAB,NAB_data_Exchange_5.out
NAB,NAB_data_KnownCause_7.out
NAB,NAB_data_tweets_1.out
NAB,NAB_data_art1_0.out
NAB,NAB_data_KnownCause_1.out
NAB,NAB_data_Exchange_3.out
NAB,NAB_data_CloudWatch_4.out
NAB,NAB_data_KnownCause_5.out
NAB,NAB_data_art1_3.out
NAB,NAB_data_KnownCause_4.out
NAB,NAB_data_tweets_8.out
NAB,NAB_data_tweets_4.out
NAB,NAB_data_Traffic_3.out
NAB,NAB_data_Traffic_5.out
NAB,NAB_data_art1_1.out
NAB,NAB_data_CloudWatch_5.out
NAB,NAB_data_Exchange_4.out
NAB,NAB_data_CloudWatch_14.out
NAB,NAB_data_Traffic_2.out
SVDB,869.test.csv@1.out
SVDB,850.test.csv@2.out
SVDB,873.test.csv@1.out
SVDB,870.test.csv@2.out
SVDB,882.test.csv@2.out
SVDB,884.test.csv@1.out
SVDB,880.test.csv@1.out
SVDB,886.test.csv@2.out
SVDB,887.test.csv@2.out
SVDB,825.test.csv@1.out
SVDB,811.test.csv@1.out
SVDB,808.test.csv@1.out
SVDB,866.test.csv@2.out
SVDB,892.test.csv@2.out
SVDB,844.test.csv@1.out
SVDB,811.test.csv@2.out
SVDB,874.test.csv@1.out
SVDB,890.test.csv@1.out
SVDB,870.test.csv@1.out
SVDB,863.test.csv@2.out
SVDB,825.test.csv@2.out
SVDB,858.test.csv@1.out
SVDB,875.test.csv@1.out
SVDB,872.test.csv@1.out
SVDB,849.test.csv@1.out
SVDB,812.test.csv@2.out
SVDB,890.test.csv@2.out
SVDB,855.test.csv@2.out
SVDB,850.test.csv@1.out
SVDB,841.test.csv@2.out
SVDB,875.test.csv@2.out
SVDB,823.test.csv@1.out
SVDB,842.test.csv@1.out
SVDB,858.test.csv@2.out
SVDB,806.test.csv@1.out
SVDB,805.test.csv@1.out
SVDB,827.test.csv@1.out
SVDB,864.test.csv@1.out
SVDB,862.test.csv@2.out
SVDB,808.test.csv@2.out
SVDB,864.test.csv@2.out
SVDB,824.test.csv@1.out
SVDB,820.test.csv@2.out
SVDB,801.test.csv@2.out
SVDB,863.test.csv@1.out
SVDB,809.test.csv@2.out
SVDB,894.test.csv@2.out
SVDB,887.test.csv@1.out
SVDB,844.test.csv@2.out
SVDB,873.test.csv@2.out
SVDB,802.test.csv@2.out
SVDB,847.test.csv@2.out
SVDB,849.test.csv@2.out
SVDB,854.test.csv@2.out
SVDB,856.test.csv@2.out
SVDB,865.test.csv@2.out
SVDB,806.test.csv@2.out
Dodgers,101-freeway-traffic.test2.out
KDD21,225_UCR_Anomaly_mit14046longtermecg_81214_143000_143300.out
KDD21,233_UCR_Anomaly_mit14157longtermecg_18913_24500_24501.out
KDD21,185_UCR_Anomaly_resperation11_58000_110800_110801.out
KDD21,018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100.out
KDD21,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.out
KDD21,101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520.out
KDD21,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.out
KDD21,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.out
KDD21,133_UCR_Anomaly_InternalBleeding14_2800_5607_5634.out
KDD21,118_UCR_Anomaly_CIMIS44AirTemperature6_4000_6006_6054.out
KDD21,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504.out
KDD21,173_UCR_Anomaly_insectEPG1_3000_7000_7030.out
KDD21,131_UCR_Anomaly_GP711MarkerLFM5z5_5000_8612_8716.out
KDD21,075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800.out
KDD21,061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.out
KDD21,119_UCR_Anomaly_ECG1_10000_11800_12100.out
KDD21,057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100.out
KDD21,217_UCR_Anomaly_STAFFIIIDatabase_38211_150720_151370.out
KDD21,143_UCR_Anomaly_InternalBleeding8_2500_5865_5974.out
KDD21,138_UCR_Anomaly_InternalBleeding19_3000_4187_4197.out
KDD21,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800.out
KDD21,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085.out
KDD21,062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.out
KDD21,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.out
KDD21,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033.out
KDD21,191_UCR_Anomaly_resperation9_38000_143411_143511.out
KDD21,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700.out
KDD21,228_UCR_Anomaly_mit14134longtermecg_11361_47830_47850.out
KDD21,175_UCR_Anomaly_insectEPG3_5200_7000_7050.out
KDD21,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100.out
KDD21,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800.out
KDD21,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out
KDD21,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.out
KDD21,111_UCR_Anomaly_3sddb40_35000_46600_46900.out
KDD21,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.out
KDD21,129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.out
KDD21,091_UCR_Anomaly_DISTORTEDtiltAPB3_40000_114000_114370.out
KDD21,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800.out
KDD21,107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.out
KDD21,012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.out
KDD21,182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.out
KDD21,152_UCR_Anomaly_PowerDemand1_9000_18485_18821.out
KDD21,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out
KDD21,093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.out
KDD21,214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out
KDD21,244_UCR_Anomaly_tilt12754table_100013_104630_104890.out
KDD21,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out
KDD21,223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.out
KDD21,115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.out
KDD21,198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out
KDD21,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out
KDD21,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.out
KDD21,157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.out
KDD21,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.out
KDD21,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.out
KDD21,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520.out
KDD21,236_UCR_Anomaly_mit14157longtermecg_19313_46350_46390.out
